Designator,Mid X,Mid Y,Rotation,Layer
C1,23.408,-139.954,0.0,top
C2,40.9561,-171.704,180.0,top
C3,22.86,-40.64,0.0,top
C4,83.4503,-65.6336,180.0,top
C5,82.3468,-82.3835,90.0,top
C6,101.9189,-82.1944,0.0,top
C7,88.6,-142.7,180.0,top
C8,86.9329,-186.182,0.0,top
C9,44.8959,-143.256,0.0,top
IC1,92.216,-73.152,0.0,top
J1,96.169,-105.791,0.0,top
J2,58.3,-36.4,90.0,top
J3,72.56,-42.7,270.0,top
J4,86.38,-52.5,90.0,top
LED1,30.734,-157.722,90.0,top
LED10,77.724,-157.595,90.0,top
LED2,49.2,-157.55,90.0,top
LED3,54.102,-179.312,90.0,top
LED4,72.5,-179.15,90.0,top
LED5,54.61,-136.259,90.0,top
LED6,72.8,-135.65,90.0,top
LED9,95.8,-157.25,90.0,top
Q1,102.489,-156.083,0.0,top
Q2,69.596,-162.179,0.0,top
Q3,21.59,-162.306,0.0,top
Q4,58.166,-157.734,0.0,top
Q5,44.831,-186.182,0.0,top
Q6,81.788,-173.334,0.0,top
Q7,44.831,-125.963,0.0,top
Q8,78.53,-125.6,0.0,top
R1,81.915,-92.583,90.0,top
R10,31.623,-141.875,90.0,top
R11,29.829,-171.196,0.0,top
R12,46.974,-171.196,0.0,top
R13,94.9,-142.7,0.0,top
R14,58.531,-162.687,0.0,top
R15,37.83,-183.007,0.0,top
R16,78.089,-186.436,0.0,top
R17,94.345,-181.737,0.0,top
R18,78.867,-179.578,0.0,top
R19,45.069,-131.826,0.0,top
R2,81.153,-96.774,0.0,top
R20,45.196,-136.779,0.0,top
R21,78.6,-133.9,0.0,top
R22,86.749,-133.9,0.0,top
R3,81.148,-100.711,0.0,top
R4,81.137,-104.902,0.0,top
R5,78.795,-142.9,0.0,top
R6,102.727,-162.052,0.0,top
R7,69.977,-155.829,0.0,top
R8,21.849,-156.083,0.0,top
R9,37.338,-141.6,90.0,top
RS1,103.378,-67.7766,270.0,top
RV1,100.33,-124.602,0.0,top
S1,90.424,-161.464,0.0,top
S2,43.688,-161.464,0.0,top
S3,67.009,-182.673,0.0,top
S4,67.31,-139.7,0.0,top
SW1,27.738,-125.294,0.0,top
U1,49.544,-80.772,0.0,top
U5,88.391,-86.624,0.0,top
U6,80.391,-111.866,0.0,top
